Year,Month,Day,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48
2053,6,21,0.98774,0.9880565,0.982989,0.984845,0.9882695,0.9863065,0.98403,0.9830745,0.9797765,0.9738505,0.9820075,0.870041,0.8722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9950025,0.992243,0.975971,0.979614,0.981053,0.975914,0.9812605,0.985388,0.982677,0.9861915,0.985491,0.9847305,0.984733,0.985455,0.9861015,0.984557,0.987413
2053,6,22,0.984161,0.983716,0.9854065,0.9832005,0.987358,0.9842905,0.9885305,0.9866635,0.9870055,0.971529,0.989966,0.976503,0.9626995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9958085,0.9953335,0.976717,0.974105,0.9772255,0.983605,0.996038,0.980857,0.9836745,0.9858875,0.985026,0.986133,0.9848725,0.9863925,0.9859195,0.986312,0.985247
2053,6,23,0.9868575,0.986891,0.9861045,0.9855075,0.987764,0.9907155,0.9680265,0.987604,0.9698455,0.985559,0.9710725,0.9797215,0.979625,0.973894,1.0002085,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.000389,0.9784785,0.9735615,0.9802715,0.976176,0.9795,0.994823,0.9797015,0.983478,0.9860895,0.9855665,0.985556,0.9828925,0.9883205,0.9847385,0.987194,0.9860625
2053,6,24,0.986831,0.986218,0.9869705,0.985616,0.9881775,0.9859745,0.979977,0.9779255,0.9793655,0.9687325,0.988544,0.9802345,0.9735085,0.973497,0.991261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.995789,0.9907765,0.971146,0.97369,0.9797015,0.9780005,0.981401,0.9833485,0.9786605,0.982793,0.991977,0.9792575,0.984724,0.985504,0.9847215,0.9862225,0.985391
2053,6,25,0.9862105,0.986452,0.984575,0.98567,0.986844,0.9868785,0.985676,0.9851245,0.9870985,0.9858305,0.9865875,0.7805895,0.779674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9974515,0.967727,0.9753325,0.976916,0.982933,0.97897,0.980849,0.9842595,0.983556,0.9820675,0.987621,0.9894125,0.989444,0.9828535,0.9833895,0.987596,0.969821
2053,6,26,0.9721415,0.9714175,0.9710275,0.970195,0.9727125,0.9610965,0.9705615,0.964915,0.9446255,0.95772,0.958449,0.956113,0.9579705,0.950226,0.962993,0.818325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.975346,0.973796,0.978367,0.986188,0.989582,0.983037,0.9845275,0.986427,0.9849725,0.987025,0.98459,0.9869495,0.9856855,0.987598,0.986696
2053,6,27,0.9874125,0.9829165,0.982902,0.987259,0.979247,0.979956,0.9831905,0.978034,0.987176,0.985909,0.979899,0.987826,0.98557,0.9868095,0.9848585,0.628612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9758635,0.978177,0.978205,0.9793025,0.976706,0.978721,0.981908,0.9826885,0.981381,0.983671,0.983867,0.984585,0.9887275,0.988356,0.989307
2053,6,28,0.989898,0.9830625,0.9846855,0.994927,0.9809305,0.9862985,0.982312,0.980959,0.980923,0.9804605,0.9870595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978562,0.974781,0.977463,0.981429,0.9786745,0.9786615,0.9786485,0.978634,0.978454,0.978798,0.9788335,0.978459,0.978576,0.978554,0.39561745
2053,6,29,0.3957652,0.3965042,0.3972752,0.39822455,0.39839365,0.3990537,0.39938735,0.3987617,0.3985963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9717765,0.9777125,0.9758685,0.978143,0.9776915,0.9791465,0.9786665,0.978287,0.978897,0.9777725,0.5860565,0.586052,0,0,0
2053,6,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.976582,0.9761595,0.977353,0.9780965,0.9774265,0.977789,0.9778505,0.9774895,0.9772645,0.9779845,0,0,0
2053,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978742,0.9742115,0.976915,0.9767915,0.977767,0.9785165,0.978251,0.9786025,0.9783205,0.978665,0.978545,0.9792355,0
2053,7,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9772505,0.978738,0.977938,0.978655,0.978891,0.9731565,0.976647,0.9740985,0.97635,0.976328,0.780578
2053,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.973056,0.9741305,0.975002,0.975341,0.977437,0.9781495,0.975769,0.978195,0.977421,0.9780995,0,0,0,0,0
2053,7,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,7,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.921552,0.920816,0.984421
2053,7,6,0.9851485,0.9846225,0.985439,0.9857035,0.984882,0.9853475,0.985724,0.9850135,0.9865215,0.9859095,0.9858865,0.9875715,0.9765715,0.49564295,0.49411975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.914512,0.935694,0.968078,0.9771485,0.9766965,0.9803845,0.978939,0.978575,0.9715295,0.9759075,0.979073,0.9794235,0.9804615,0.9842605,0.9832305,0.9817215,0.88802
2053,7,7,0.892905,0.9015745,0.901926,0.902456,0.9010055,0.901356,0.9023435,0.901596,0.9026,0.902082,0.902055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977092,0.9781425,0.975511,0.976284,0.97835,0.9783375,0.9782455,0.978602,0.978454,0.978794,0.9776135,0.978828,0,0,0
2053,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.973369,0.975163,0.9781465,0.9698685,0.9762285,0.977506,0.976125,0.9794325,0.979232,0.976955,0,0,0,0,0
2053,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,7,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,7,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.971984,0.9730695,0.9772725,0.973772,0.9766145,0.9763405,0.9766735,0.9780945,0.977415,0.977394,0.976757,0.977812,0.975618,0.970988,0.3962401
2053,7,12,0.3959051,0.35644375,0.35655135,0.17461475,0.1746188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9726785,0.9748495,0.978051,0.9746765,0.9781965,0.9777925,0.9772785,0.978753,0.9775745,0.978647,0.7468125,0.7467965,0,0,0
2053,7,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9741505,0.9766635,0.9749955,0.976166,0.9780165,0.9783635,0.977409,0.979273,0.9782125,0.9789235,0.978989,0.973128,0.981133,0.973454,0.4438533
2053,7,14,0.4449749,0.4464672,0.44682115,0.446479,0.4468309,0.44635975,0.44704655,0.4468177,0.4466498,0.44682515,0.44737445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.972811,0.9753385,0.9746065,0.975538,0.976748,0.975921,0.977505,0.9778535,0,0,0,0,0,0,0
2053,7,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9708365,0.974837,0.977845,0.9778275,0.977222,0.9772005,0.975109,0.9750655,0,0,0,0,0,0,0
2053,7,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,7,17,0,0,0,0,0,0,0,0,0,0,0,0.8258375,0.82817,0.8270565,0.826722,0.7677965,0.749562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9659495,0.970885,0.970729,0.97383,0.981906,0.9786025,0.9787765,0.980208,0.97958,0.9819165,0.984734,0.986706,0.978926,0.983107,0.983217,0.9870125,0.9849605
2053,7,18,0.985688,0.9831475,0.987891,0.98429,0.987823,0.985745,0.986871,0.9870215,0.9850335,0.985266,0.985231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9741675,0.979424,0.983252,0.9793265,0.982224,0.984436,0.988267,0.9886165,0.9894895,0.989836,0.979775,0.9962565,0.9877525,0.980503,0.967814
2053,7,19,0.9688785,0.9680405,0.969191,0.9682675,0.969453,0.969353,0.968102,0.968756,0.9691145,0.969736,0.9288675,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9747635,0.9747935,0.9763595,0.978617,0.9782935,0.9786515,0.97814,0.9788625,0.9796955,0.9734855,0.976639,0.977848,0.9794205,0.9794345,0.39734045
2053,7,20,0.3981083,0.39778485,0.3987026,0.4014099,0.4017385,0.36145505,0.3602035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.978191,0.9777925,0.977768,0.978131,0.9777815,0.978837,0.975349,0.972627,0,0,0,0,0,0,0
2053,7,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9719675,0.9748535,0.9772005,0.9775405,0.974898,0.976132,0.976205,0.9791025,0.978128,0.9784725,0.978864,0.973118,0.9726565,0.979084,0.39612475
2053,7,22,0.39709025,0.39995635,0.3996393,0.4005344,0.3992932,0.23812215,0.23830855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9775905,0.981336,0.974505,0.9783175,0.9805565,0.9748035,0.979645,0.9819975,0.979052,0.9778395,0.9797775,0.983651,0.836234,0.837547,0
2053,7,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9744425,0.9786295,0.978523,0.976877,0.982345,0.9853,0.994996,0.980094,0.9839115,0.9830595,0.984189,0.985712,0.9854675,0.984681,0
2053,7,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977532,0.9764275,0.9774555,0.9794775,0.976302,0.977665,0.980177,0.983601,0.98667,0.9747285,0.23657405,0.23740815,0.17724055,0.17695555,0
2053,7,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.87404,0.9913535,0.993044,0.996239,0.9713995,0.9775455,0.977769,0.978886,0.978294,0.978652,0.9810215,0.9744455,0.979639,0.9795085,0.979058,0.97987,0.979492,0.982245,0.9807355
2053,7,26,0.9811245,0.980846,0.9824195,0.9820805,0.9816705,0.980535,0.9835865,0.9828535,0.9813085,0.9864935,0.9815925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9761265,0.977892,0.9705925,0.974518,0.9748245,0.9755105,0.978002,0.9783705,0.9778735,0.978964,0.978287,0.978634,0.9782155,0.979616,0
2053,7,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9738155,0.976325,0.9781365,0.9781225,0.979191,0.9758145,0.9769475,0.977314,0,0,0,0,0,0,0
2053,7,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9782865,0.97264,0.9782455,0.972569,0.977236,0.9743685,0.67863,0.679438,0,0,0,0,0
2053,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,7,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9738005,0.9748645,0.977315,0.9728775,0.973637,0.977801,0.976482,0.9775495,0.976731,0.9774155,0
2053,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969786,0.972268,0.9724055,0.973129,0.9736595,0.9736525,0.976065,0.9767695,0.976885,0.976472,0.977693,0.9780445,0.9771805,0.977567,0.9726985
2053,8,2,0.973046,0.9734575,0.9723305,0.9728435,0.972829,0.972217,0.972932,0.9722015,0.9717965,0.9687985,0.969555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.969263,0.9707525,0.9701955,0.970887,0.9717295,0.969374,0.97087,0.9712185,0.9733205,0.974736,0,0,0,0,0
2053,8,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9757855
2053,8,4,0.9757695,0.978039,0.9780705,0.977623,0.978716,0.9778085,0.9795755,0.9830325,0.97656,0.9748935,0.976841,0.981921,0.97911,0.9777145,0.975111,0.5428415,0.5298285,0.0844322,0.0670306,0.05251565,0.04229842,0.03274985,0.026754395,0.02220126,0.02009058,0.026079505,0.03059494,0.0369464,0.046073125,0.8562005,0.874023,0.9669485,0.987093,0.965905,0.9709495,0.97513,0.979641,0.978277,0.9790075,0.976136,0.9773195,0.9793335,0.9827265,0.986781,0.988935,0.9824785,0.986745,0.9880445
2053,8,5,0.981104,0.9835465,0.987919,0.9841465,0.988762,0.9868485,0.9868285,0.990701,0.9692025,0.9658915,0.9949855,0.986356,0.9715665,0.989595,0.983161,0.628021,0.7242155,0,0,0,0,0,0,0,0,0,0,0,0,0.855953,0.937616,0.995828,0.995682,0.97025,0.9730375,0.97638,0.981845,0.980677,0.984169,0.9843425,0.9910345,0.9898625,0.9873,0.987398,0.9864185,0.9813415,0.9848845,0.9837095
2053,8,6,0.987111,0.986795,0.984456,0.988813,0.982194,0.983445,0.9872075,0.9844895,0.9876725,0.986011,0.9863755,0.986003,0.9863555,0.987785,0.982999,0.591291,0.715609,0.0903899,0.0724694,0.0574094,0.04659948,0.036308485,0.030291055,0.0272292,0.02663249,0.02932319,0.03619581,0.044378745,0.0550853,0.0676655,0.08518645,0.9913095,0.9949275,0.9755145,0.9755865,0.9778605,0.9793565,0.9786705,0.979024,0.976963,0.981918,0.9833835,0.9818585,0.982924,0.9825425,0.9929065,0.9928945,0
2053,8,7,0,0.98443,0.9859485,0.9844975,0.9860235,0.984295,0.986533,0.9855375,0.985516,0.9854675,0.9854425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,8,8,0,0,0,0,0,0,0,0,0,0,0,0.949782,0.9504575,0.951082,0.9205495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9872455,0.9876055,0.9665655,0.9716565,0.97841,0.9780605,0.978842,0.97954,0.9776715,0.978914,0.98046,0.9842825,0.9834875,0.981611,0.9826195,0.982608,0.9921015
2053,8,9,0.9737625,0.982785,0.9861065,0.981984,0.984287,0.9837495,0.9867375,0.9837515,0.987334,0.9847565,0.988127,0.9869155,0.986521,0.9883685,0.9479635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2223368,0.22231785,0.975527,0.979301,0.981242,0.9759885,0.983843,0.985664,0.99611,0.9800485,0.9845505,0.985736,0.985945,0.984781,0.98554,0.985143,0.985069
2053,8,10,0.9858115,0.982965,0.989659,0.9860815,0.9878825,0.9918885,0.9688265,0.993373,0.972153,0.983545,0.983478,0.963804,0.962077,0.9520435,0.9512075,0.02045129,0,0,0.0595857,0.04481823,0.035294705,0.026813935,0.02178795,0.0193693,0.017610745,0.021517975,0.02778605,0.03532791,0.04660492,0.8631685,0.8769525,0.899396,0.923815,0.9745625,0.975346,0.977684,0.9795505,0.9784935,0.979207,0.97873,0.9790765,0.98028,0.9734955,0.9815235,0.983082,0.9822765,0.983013,0.985703
2053,8,11,0.988589,0.994259,0.978699,0.983954,0.9839275,0.9839985,0.9839675,0.9836985,0.985463,0.98495,0.985302,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6337305,0.6349595,0.63492,0.6353655,0.6341495,0.635324,0
2053,8,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9120365,0.9120265,0.912016,0.912005,0.9164945,0.920356,0.9209525,0.9143225,0
2053,8,13,0,0.913277,0.913615,0.9159985,0.916968,0.9187335,0.918707,0.917598,0.9185965,0.918376,0.893229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,8,14,0,0.635643,0.6161825,0.6157295,0.6145535,0.613852,0.6171345,0.615959,0.616199,0.618774,0.6190115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1753041,0.978261,0.996297,0.9978425,0.9732635,0.973983,0.9765445,0.980596,0.9716175,0.981327,0.984006,0.9899375,0.989529,0.9898785,0.981569,0.984922,0.989703,0.9871405,0.987982
2053,8,15,0.9801355,0.983762,0.986225,0.981696,0.987756,0.985254,0.987195,0.9857525,0.9861305,0.984846,0.9884895,0.986281,0.971518,0.9903435,0.9431095,0.8209895,0.7937715,0.1290202,0.111587,0.0977495,0.0863809,0.07564525,0.06991095,0.06723405,0.07368,0.076532,0.08332995,0.09097915,0.10148355,0.850306,0.8677485,0.9700605,0.998262,0.972893,0.979329,0.974041,0.980144,0.9832935,0.980919,0.982247,0.9829955,0.983869,0.9845875,0.996103,0.983279,0.983113,0.984741,0.984478
2053,8,16,0.9863615,0.98494,0.9865935,0.9855,0.987066,0.9860575,0.9871785,0.98606,0.9878435,0.987051,0.9824485,0.9869915,0.982378,0.763448,0.724021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.976872,0.9791215,0.978303,0.9793815,0.982605,0.9770025,0.983447,0.987135,0.9930155,0.9898945,0.983383,0.9856645,0.985163,0.9851495,0.98559
2053,8,17,0.9836495,0.9845035,0.98603,0.9851845,0.985905,0.9855465,0.9859415,0.9851525,0.9867525,0.9860495,0.9860195,0.97329,0.9739965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.991767,0.9919975,0.967891,0.971581,0.973589,0.9753985,0.9783235,0.981562,0.9746525,0.9802525,0.9792595,0.9734975,0.9807385,0.982323,0.9819845,0.9827485,0.9828675
2053,8,18,0.9820925,0.9858965,0.9895445,0.9927985,0.9932175,0.9893015,0.987482,0.9899495,0.9911025,0.98247,0.9857095,0.9826085,0.9858155,0.883995,0.8437655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.994044,0.9931235,0.968306,0.9757395,0.9718915,0.9773,0.97793,0.9761335,0.9813345,0.9832925,0.982527,0.9828905,0.9827745,0.982764,0.9909335,0.9924195,0.9868665
2053,8,19,0.9823665,0.9839335,0.983495,0.9832555,0.9874125,0.985036,0.98704,0.9854005,0.9873255,0.986565,0.9861495,0.9864625,0.986798,0.988517,0.9440715,0.3877706,0.3616253,0.0743295,0.056601,0.04242634,0.032323055,0.024516885,0.019665865,0.016635175,0.01491863,0.018565165,0.025132775,0.032746495,0.043868205,0.859339,0.8746795,0.9961985,0.992,0.969832,0.9730005,0.977529,0.979015,0.978014,0.979475,0.978536,0.979241,0.978044,0.97803,0.980042,0.981889,0.981783,0.9829385,0.983756
2053,8,20,0.9855725,0.988309,0.988655,0.9915175,0.9924375,0.991463,0.9838365,0.9877745,0.9805135,0.98373,0.9951445,0.23562245,0.235813,0.17626085,0.1749345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9752625,0.973211,0.975429
2053,8,21,0.975776,0.9776585,0.978866,0.9806535,0.981839,0.9817845,0.9821605,0.9817925,0.982539,0.98243,0.982027,0.9824185,0.9820155,0.9827565,0.9446175,0.9358365,0.912459,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.965476,0.972189,0.969378,0.97169,0.972852,0.97318,0.974371,0.9754475,0.975692,0.9756825,0.975414,0.978456,0.9779135,0.9793715,0
2053,8,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9727855,0.9735065,0.975525,0.9765825,0.978044,0.977647,0.9780745,0.9777085,0.977551,0.9779005,0
2053,8,23,0,0.17414105,0.17457635,0,0,0.726529,0.725636,0.725618,0.7258935,0.7263375,0.725678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,8,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8883765
2053,8,25,0.8886865,0.875952,0.875942,0.8754615,0.8768255,0.8770465,0.8780295,0.882746,0.8834875,0.8797715,0.8797565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.96643,0.971649,0.9709735,0.9720535,0.9721295,0.9717755,0.9726475,0.9730025,0.9739325,0.9739185,0,0,0,0,0
2053,8,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9687695,0.9701995,0.969862,0.971129,0.9734435,0.9741375,0.9762815,0.975084,0.5193395,0.5203375,0,0,0,0,0
2053,8,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,8,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,8,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9028045,0.921218,0.973074,0.978831,0.9782425,0.974008,0.9744585,0.9774035,0.9826015,0.9851725,0.9950025,0.9811285,0.983979,0.9857625,0.9838725,0.9853765,0.984181
2053,8,30,0.984931,0.9834895,0.985734,0.9862195,0.9837155,0.984906,0.9856905,0.9848865,0.9860435,0.985542,0.9858955,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9778505,0.978579,0.9779425,0.980078,0.972025,0.9733955,0.9791485,0.9799325,0.9813755,0.9825535,0.9828685
2053,8,31,0.9812955,0.98162,0.982393,0.981976,0.9823465,0.982163,0.9821475,0.982596,0.98182,0.98804,0.989461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9733305,0.974764,0.9783375,0.9744835,0.9759,0.9754555,0.976749,0.977629,0,0,0,0,0,0,0
2053,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977781,0.978528,0.977979,0.9787035,0.9795055,0.973216,0.975732,0.9757125,0.976107
2053,9,2,0.975307,0.977759,0.9798795,0.9811375,0.98302,0.981773,0.982136,0.9816055,0.98234,0.982996,0.9862775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.976276,0.977054,0.9769755,0.978838,0.978218,0.978564,0.9779145,0.978967,0.978728,0.977983,0
2053,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.977975
2053,9,4,0.9779685,0.979738,0.9733255,0.97864,0.9808205,0.9811545,0.981931,0.981066,0.982579,0.9856915,0.9874725,0.9856545,0.9834225,0.786169,0.738527,0.19508105,0.1825612,0.16218375,0.14795275,0.1370002,0.12947095,0.1253392,0.12345645,0.1198513,0.11740795,0.1234191,0.1285949,0.1361047,0.1447996,0.15526765,0.1704384,0.9845485,0.991112,0.9673645,0.9702835,0.9724585,0.9731575,0.974392,0.975469,0.9777095,0.977694,0.959055,0.957341,0.952105,0.9524485,0.9547775,0.95714,0.98103
2053,9,5,0.98182,0.981545,0.9830825,0.981757,0.9832465,0.98341,0.984487,0.9881895,0.9885275,0.9943835,0.9920265,0.988519,0.9884635,0.28069445,0.23661655,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9646985,0.98835,0.9662725,0.9715155,0.970651,0.9717705,0.973312,0.974036,0.9754945,0.974764,0.974755,0.975467,0.977201,0.978251,0.9748325,0.97566,0.9766115
2053,9,6,0.9765985,0.977521,0.9786245,0.97777,0.9788825,0.977836,0.9792785,0.9792835,0.9773875,0.9771695,0.978427,0.977567,0.976431,0.35352555,0.35331105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9686405,0.970489,0.969671,0.969651,0.9694625,0.9698025,0.9696075,0.9695745,0.693485,0.6937265,0,0,0
2053,9,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2053,9,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9747185,0.989433,0.9666475,0.9699135,0.971942,0.972646,0.975448,0.9800395,0.9751075,0.9788285,0.9782615,0.9782535,0.9784705,0.9775815,0.9767555,0.977579,0.9797155
2053,9,10,0.981309,0.981258,0.9820355,0.9813375,0.98247,0.9819275,0.9822795,0.9839785,0.9843225,0.988452,0.988427,0.993866,0.99093,0.24940965,0.24763755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9728055,0.9735005,0.974689,0.975402,0.9757205,0.97607,0.9782935,0.9756465,0.9777375,0.978839,0.978464
